hg38_dna	20988	23987	2.352069162365592,20.922578616950503,1.8575895058277878
hg38_dna	23988	26982	0.9025729995957981,19.765437765827595,2.2465880213440026
hg38_dna	26983	29982	3.06690304401423,20.967951925882137,2.769982557238868
hg38_dna	29983	32985	1.4783583871067596,21.90452915218155,-0.11934626281144078
hg38_dna	32986	35985	3.514662432253245,19.290599307161894,2.294556600051379
hg38_dna	35986	38987	3.198965212986452,20.807426664018273,1.4289332631984846
hg38_dna	38988	41987	1.2884001011254858,19.514029521520374,1.804744041001289
hg38_dna	41988	44987	1.3981999021235623,18.798827281921838,1.3244889857118165
hg38_dna	44988	47987	2.321826267448105,19.644001806362706,2.391903667054973
hg38_dna	47988	50987	1.0978840719779166,18.939905941533972,0.8034636195957554
hg38_dna	50988	53984	2.430071180307827,19.866900350710747,4.052402542708917
hg38_dna	53985	56984	0.9890314911494271,19.367227090587576,1.5137002371962547
hg38_dna	56985	59984	2.1602984390685815,21.21929087040742,-0.16137076187300625
hg38_dna	59985	62984	2.9735277673410745,20.56590303515209,0.8093741141508091
hg38_dna	62985	65984	0.32521063400619976,18.872051998505658,0.39327249829229505
hg38_dna	65985	68984	0.7363388156214918,19.174687009173127,3.6370983371651855
hg38_dna	68985	71984	2.895411624988408,18.705529362638952,3.9812013330905636
hg38_dna	71985	74988	1.9482203125603355,21.268677749352683,0.9826766305933026
hg38_dna	74989	77988	2.3763563577068805,18.375738049123488,2.6302063228298094
hg38_dna	77989	80988	1.3847136489357315,20.55973891614308,0.4667875802266219
hg38_dna	80989	83988	2.542304166345624,18.80381939503503,-0.1839138790122603
hg38_dna	83989	86988	2.1576645570429314,19.953084008942742,3.025734279957688
hg38_dna	86989	89987	1.8715827829361116,19.49806186862853,1.3977100754752674
hg38_dna	89988	92987	-0.3343432401472364,20.418144620240877,2.471165893484303
hg38_dna	92988	95987	0.2605065416705701,21.028099935704944,1.9396515532403888
hg38_dna	95988	98992	1.1746260414766372,20.05046062359079,2.3483023815788413
hg38_dna	98993	101992	1.9052186197232264,19.08555957772678,2.2916193061171093
