hg38_dna	20988	23987	3.13959516008834,22.089992215009456,0.45492097108090057
hg38_dna	23988	26982	0.583154655727752,20.006646279969527,2.213552354128795
hg38_dna	26983	29982	2.361829633327392,20.78855837343013,2.171947124661153
hg38_dna	29983	32985	2.4944285965468085,20.516685089192574,3.8781778035990384
hg38_dna	32986	35985	2.256089010693121,19.588289956394604,2.1682586072460523
hg38_dna	35986	38987	2.53221993988687,19.933286597908943,1.7731604766853482
hg38_dna	38988	41987	2.723392995117057,17.56729273501034,3.106232270297836
hg38_dna	41988	44987	3.811601963075441,20.23056986219259,2.9780478997940096
hg38_dna	44988	47987	3.2174908354492384,18.798314227563402,0.7882939287177093
hg38_dna	47988	50987	2.47438237590113,20.640549726309,1.92678626035055
hg38_dna	50988	53984	2.293814740750493,17.994662066108663,3.222237511818946
hg38_dna	53985	56984	2.4532431249663222,18.585280029259646,2.183487800134552
hg38_dna	56985	59984	1.24214989457267,20.67139786393519,1.5804329957001868
hg38_dna	59985	62984	2.9872853539700026,21.526796572739354,3.3712750984282964
hg38_dna	62985	65984	0.4721248292535076,19.128796245765145,2.1379663940672664
hg38_dna	65985	68984	2.8045667621562806,20.085049351216362,1.6197099801056978
hg38_dna	68985	71984	1.4871585651394217,18.87903833797868,1.7485917906602213
hg38_dna	71985	74988	3.1775559797450823,18.875756041452576,1.492919580171816
hg38_dna	74989	77988	2.5012303909333893,20.123674107367087,0.3664100435200519
hg38_dna	77989	80988	3.284538597294161,21.02895321254137,2.9239253114184924
hg38_dna	80989	83988	3.132279152416853,19.995950214516558,2.4374426667532125
hg38_dna	83989	86988	2.9374463163773212,20.969600752934152,1.2354118454966594
hg38_dna	86989	89987	2.0711151334926012,20.00119338755177,2.4853301695739205
hg38_dna	89988	92987	0.4407054395273755,20.47237742400087,2.0416321835532614
hg38_dna	92988	95987	0.3103519048400183,19.247010331755735,-0.1252259746826767
hg38_dna	95988	98992	1.4317853799127311,19.326348863260296,1.6669864882266037
hg38_dna	98993	101992	2.5075633879270387,21.010124032204573,3.871735903941408
