hg38_dna	20988	23987	-3.069489566472281,-19.70424300179063,3.9831375206860193
hg38_dna	23988	26982	-0.8657359381735021,-19.82048239246293,2.1876704556583246
hg38_dna	26983	29982	-1.2179773156242375,-21.708329357789886,0.8645742270677212
hg38_dna	29983	32985	-2.5051342663953418,-21.475914906839385,3.90221609819159
hg38_dna	32986	35985	-1.7033721621871667,-19.1672325703672,2.0001771720003525
hg38_dna	35986	38987	-0.9752242315279467,-20.509838362232333,1.1705536919546151
hg38_dna	38988	41987	-2.1786764542651325,-20.329976245194413,2.568385702097917
hg38_dna	41988	44987	-2.9314633772357377,-20.230641378964542,2.2956441715994718
hg38_dna	44988	47987	-2.3244812263210086,-20.018568096880227,2.4937681203055897
hg38_dna	47988	50987	-1.5380674676833834,-20.233541004199743,1.6438963205054278
hg38_dna	50988	53984	-3.4163687368221995,-18.46940813784504,0.46959811883891445
hg38_dna	53985	56984	-2.1394824122925473,-17.85066705866594,-0.7545503815146506
hg38_dna	56985	59984	-0.7492174771795403,-21.458726040640325,1.290422332837697
hg38_dna	59985	62984	-1.7404573379240011,-19.97245002800847,1.8364550649209774
hg38_dna	62985	65984	-1.1923134320610314,-19.831998991852817,3.3679184338403663
hg38_dna	65985	68984	-2.6473272640460483,-21.125543719906638,1.402848389241408
hg38_dna	68985	71984	-3.4240123748843674,-20.754132885055796,2.695833215959272
hg38_dna	71985	74988	-1.3754272390859514,-19.747081636878598,2.7431357307104722
hg38_dna	74989	77988	-0.12730622942087022,-18.847067943604973,2.184224709236318
hg38_dna	77989	80988	-2.185513437140695,-19.9462609466874,0.6463458694299788
hg38_dna	80989	83988	-3.8828294140215727,-20.467841205819933,2.2721517824593143
hg38_dna	83989	86988	-2.092776018388813,-19.63421517974856,3.1863331326026048
hg38_dna	86989	89987	0.05595367614326019,-21.481722181569374,0.8861524560766174
hg38_dna	89988	92987	-4.080119450013565,-21.20051506707693,3.1233054287790916
hg38_dna	92988	95987	-1.3435159323398054,-20.552079910028038,3.168119614488883
hg38_dna	95988	98992	-1.7300698050150665,-18.764112458037786,2.9985108822905753
hg38_dna	98993	101992	-3.5393609024831436,-20.226950390727374,2.890557724168086
