hg38_dna	20988	23987	-3.4236051951573563,-20.243946135083494,3.4834699320087426
hg38_dna	23988	26982	-2.4157007425074846,-19.193045148230283,0.301860046038547
hg38_dna	26983	29982	-2.7546623960120717,-19.64107297704144,1.5757455167851009
hg38_dna	29983	32985	-2.515277623285691,-20.923037863480445,1.8570754191960406
hg38_dna	32986	35985	-1.6306169424649652,-19.21858286012029,2.059791552239907
hg38_dna	35986	38987	-0.12910443416639827,-21.074450104782063,4.5466346059498886
hg38_dna	38988	41987	-1.2535902683504814,-19.120572731714738,3.362911599034952
hg38_dna	41988	44987	-1.7766984294288022,-21.338447009575482,2.3368653221416738
hg38_dna	44988	47987	-2.288474143986309,-20.623738444326207,2.5843867971041687
hg38_dna	47988	50987	-2.481432797982063,-19.415834029860918,1.2325803257330414
hg38_dna	50988	53984	-0.9496578349491647,-19.623120607970232,1.7677935833467664
hg38_dna	53985	56984	-1.3073233971467935,-20.3527282020635,1.559618871591881
hg38_dna	56985	59984	-1.4062325703611562,-19.48826030703698,2.363654845666041
hg38_dna	59985	62984	-1.9891095583874485,-19.324141082620475,2.735015414628161
hg38_dna	62985	65984	-2.9618145498610726,-21.59301155671813,2.696886394618901
hg38_dna	65985	68984	-1.448923001971103,-19.84122912069223,0.7570758420396166
hg38_dna	68985	71984	-2.1148487669451326,-21.220148529127226,1.1034957828392977
hg38_dna	71985	74988	-3.2025194045961856,-20.231606548108676,2.7642994548709106
hg38_dna	74989	77988	-1.422581361672398,-20.623081007935532,2.6202511881297186
hg38_dna	77989	80988	-0.04579450558331488,-19.365881465772976,2.0794235843996716
hg38_dna	80989	83988	-1.8073108345948814,-21.618782465477246,2.6068785166878294
hg38_dna	83989	86988	-1.4148564740090284,-20.383320234421177,0.9755508317224295
hg38_dna	86989	89987	-0.8121248988715182,-18.39157158676923,2.1586032977235594
hg38_dna	89988	92987	-2.3366693006933046,-21.11981410102927,2.145939768624912
hg38_dna	92988	95987	-1.2518156066569985,-21.30593077688566,0.32187132991548095
hg38_dna	95988	98992	-2.788581613545359,-20.478885354721594,1.7424891472000297
hg38_dna	98993	101992	-0.9231051136020243,-19.570264703334857,0.11870739488635262
