hg38_dna	20988	23987	2.0,20.0,2.0
hg38_dna	23988	26982	2.0,20.0,2.0
hg38_dna	26983	29982	2.0,20.0,2.0
hg38_dna	29983	32985	2.0,20.0,2.0
hg38_dna	32986	35985	2.0,20.0,2.0
hg38_dna	35986	38987	2.0,20.0,2.0
hg38_dna	38988	41987	2.0,20.0,2.0
hg38_dna	41988	44987	2.0,20.0,2.0
hg38_dna	44988	47987	2.0,20.0,2.0
hg38_dna	47988	50987	2.0,20.0,2.0
hg38_dna	50988	53984	2.0,20.0,2.0
hg38_dna	53985	56984	2.0,20.0,2.0
hg38_dna	56985	59984	2.0,20.0,2.0
hg38_dna	59985	62984	2.0,20.0,2.0
hg38_dna	62985	65984	2.0,20.0,2.0
hg38_dna	65985	68984	2.0,20.0,2.0
hg38_dna	68985	71984	2.0,20.0,2.0
hg38_dna	71985	74988	2.0,20.0,2.0
hg38_dna	74989	77988	2.0,20.0,2.0
hg38_dna	77989	80988	2.0,20.0,2.0
hg38_dna	80989	83988	2.0,20.0,2.0
hg38_dna	83989	86988	2.0,20.0,2.0
hg38_dna	86989	89987	2.0,20.0,2.0
hg38_dna	89988	92987	2.0,20.0,2.0
hg38_dna	92988	95987	2.0,20.0,2.0
hg38_dna	95988	98992	2.0,20.0,2.0
hg38_dna	98993	101992	2.0,20.0,2.0
